Node1,Node2,Correlation,Score
BAX,pCREB1,0.629093198,6.691759549
BAX,pRPS6KB1,0.760284851,6.606584027
BCL2L11,CDKN1A,0.850480466,9.61463299
BCL2L11,pIGF1R,-0.914611782,7.643065074
BCL2L11,pMAPK14,-0.968156507,7.090631932
BCL2L11,pRPS6KB1,0.721750024,6.390007504
CASP6,pCREB1,-0.756572294,7.961057943
HMOX1,pPRKAB1,0.91483174,6.177549378
HMOX1,pCREB1,0.50137721,6.259608917
HMOX1,pRPS6KA3,0.946109223,6.093152662
MKI67,CDKN1A,0.589887026,6.622206996
MKI67,pRPS6KB1,0.682784075,6.073246505
CDKN1A,pEIF4EBP1,0.717644651,8.300718583
CDKN1A,pEIF4EBP1,-0.793070326,8.72942401
CDKN1A,pACACA,0.580958053,7.019964473
CDKN1A,pCDC25A,0.892147626,12.00573789
CDKN1A,pBAD,0.980169251,11.12731456
CDKN1A,pMAPK3,0.626988602,9.184997695
CDKN1A,pH3F3A,-0.74864039,8.509777626
CDKN1A,pMAPK14,-0.772513974,10.7174585
CDKN1A,pRPS6KA1,-0.728412348,8.429236157
CDKN1A,pAKT1S1,0.934003942,11.64042202
CDKN1A,pRPS6,-0.736846468,8.291933006
CDKN1A,pMAPK8,0.415064075,7.408765013
CDKN1A,pSMAD1,-0.748715661,9.16146733
CDKN1A,pSTAT3,0.763913821,8.469134232
CDKN1A,SOX2,0.487863676,6.033219003
CDKN1B,pCREB1,0.733685484,7.679950541
CDKN1B,pMAPK14,-0.959460633,6.601753966
pEIF4EBP1,pGSK3A,0.990537445,6.144958806
pEIF4EBP1,pRPS6KB1,0.740866923,6.839166524
pEIF4EBP1,pCREB1,0.609690863,6.266319097
pACACA,pRAF1,-0.966326243,6.715681002
pACACA,pCREB1,0.753397035,7.876809551
pACACA,pH3F3A,-0.950272845,6.204130644
pACACA,pMAPK14,-0.872066129,8.586130242
pCDC25A,pRPS6KB1,0.939338588,9.042640474
pBAD,pMAPK14,-0.790218193,6.509472041
pBAD,pRPS6KB1,0.737952132,6.827773224
pBRAF,pCREB1,-0.895590201,10.48581159
pKIT,pEGFR,0.791379107,6.433357437
pRAF1,pCREB1,-0.794467348,8.373157993
pRAF1,pMAPK14,0.826502267,7.501726982
pCREB1,pEGFR,0.837926323,8.938504363
pCREB1,pERBB3,0.462821433,6.347477514
pCREB1,pFOXO3,-0.681677685,7.249846911
pCREB1,pMAPK14,-0.514355847,7.512184295
pCREB1,pTSC2,0.566253163,6.047700269
pCREB1,SOX2,0.558573493,5.99769396
pERBB3,pRPS6KB1,0.935934891,12.94028142
pFADD,pMAPK14,-0.968839954,7.088417398
pPTK2,pRPS6KB1,-0.872963773,7.153916886
pFOXO3,pRPS6KB1,-0.759205082,6.616339386
pH3F3A,pMAPK14,0.892125227,6.09892249
pIGF1R,pMAPK14,0.917676979,7.63293966
pMAPK14,pRPS6KB1,-0.594051886,7.190623358
pMAPK14,BIRC5,-0.861279905,5.958658962
pRPS6KB1,pPKIA,0.754919874,6.453402207
pRPS6KB1,pAKT1S1,0.838579472,8.365315648
pRPS6KB1,pRPS6,-0.823707842,7.107618759
pRPS6KB1,pSMAD1,-0.81371393,8.198937469
pRPS6KB1,pSTAT3,0.684228874,6.07033524
pRPS6KB1,pSTAT5A,0.909409832,9.063082263
pRPS6KB1,SOX2,0.684863706,6.352425717
