Node1,Node2,Correlation,Score
BCL2L11,pAKT1S1,0.977232936,20.0140064
CASP9,pH3F3A,0.973243906,20.15073507
CASP9,pPRKCA,0.968302286,20.04842025
CCND1,pPRKAA1,0.991404309,20.23400143
EGFR,pFOXO3,0.974182688,20.15290123
EGFR,pH3F3A,0.978398314,20.24010981
EGFR,pPRKCA,0.982132777,20.31736458
MKI67,pBAD,0.998778213,20.37261819
MKI67,pFADD,0.990714745,20.01497708
MKI67,pMTOR,0.986733705,20.14479798
pEIF4EBP1,pRAF1,0.989485208,20.05949037
pEIF4EBP1,pRPS6KB1,0.987818058,20.07622221
pACACA,pMAPK14,0.979785331,20.06767302
pEGFR,pH3F3A,0.977394752,20.1824148
pFOXO3,pH3F3A,0.996185019,20.62572422
pFOXO3,pPRKCA,0.996100968,20.62398396
pGSK3A,pMTOR,0.987730351,20.06760268
pH3F3A,pPRKCA,0.99396725,20.57980595
pH3F3A,pTSC2,0.969708442,20.0775343
pPRKCA,pTSC2,0.981596879,20.32368097
